color,category
누릿누릿,노란계열
노랑,노란계열
금실,노란계열
초가지붕,노란계열
금빛,노란계열
병아리,노란계열
누우런,노란계열
햇빛,노란계열
노르칙칙,노란계열
누르스레,노란계열
노르스레,노란계열
누르죽죽,노란계열
밀밭,노란계열
태양,노란계열
귤,노란계열
레몬,노란계열
빛,노란계열
빛나는,노란계열
빛나게,노란계열
빛나서,노란계열
전구,노란계열
때,노란계열
때탄,노란계열
불빛,노란계열
달,노란계열
달빛,노란계열
바나나,노란계열
따스한,노란계열
따스하,노란계열
해바라기,노란계열
빨갛,빨간계열
뻘겋,빨간계열
불그스레,빨간계열
발그스레,빨간계열
빨그스레,빨간계열
벌그스레,빨간계열
뻘그스레,빨간계열
불그레,빨간계열
불그무레,빨간계열
발가우리,빨간계열
홍조,빨간계열
붉게,빨간계열
분홍빛,빨간계열
빨간,빨간계열
팥,빨간계열
피,빨간계열
심장,빨간계열
정열,빨간계열
열정,빨간계열
뜨거운,빨간계열
뜨겁,빨간계열
불,빨간계열
타는,빨간계열
타,빨간계열
소화기,빨간계열
자두,빨간계열
앵두,빨간계열
수박,빨간계열
사과,빨간계열
하늘,파란계열
파아란,파란계열
푸르딩딩,파란계열
푸르죽죽,파란계열
청포,파란계열
강물,파란계열
바다,파란계열
대양,파란계열
하늘,파란계열
물,파란계열
차가운,파란계열
차갑,파란계열
시린,파란계열
시리,파란계열
서슬,파란계열
창공,파란계열
얼음,파란계열
블루베리,파란계열
제비꽃,파란계열
도깨비불,파란계열
