color,saturation,brightness,category
발갛,0,85,빨간계열
빨갛,0,0,빨간계열
벌겋,136,85,빨간계열
뻘겋,136,0,빨간계열
붉,68,85,빨간계열
새빨갛,0,0,빨간계열
시뻘겋,136,0,빨간계열
발그스름,0,170,빨간계열
빨그스름,0,85,빨간계열
볼그스름,0,170,빨간계열
뽈그스름,0,85,빨간계열
벌그스름,68,170,빨간계열
뻘그스름,68,85,빨간계열
불그스름,68,170,빨간계열
뿔그스름,68,85,빨간계열
발그스레,0,170,빨간계열
빨그스레,0,85,빨간계열
볼그스레,0,170,빨간계열
뽈그스레,0,85,빨간계열
벌그스레,68,170,빨간계열
뻘그스레,68,85,빨간계열
불그스레,68,170,빨간계열
뿔그스레,68,85,빨간계열
발그름,0,170,빨간계열
빨그름,0,85,빨간계열
볼그름,0,170,빨간계열
뽈그름,0,85,빨간계열
벌그름,68,170,빨간계열
뻘그름,68,85,빨간계열
불그름,68,170,빨간계열
뿔그름,68,85,빨간계열
발그레,0,170,빨간계열
빨그레,0,85,빨간계열
볼그레,0,170,빨간계열
뽈그레,0,85,빨간계열
벌그레,68,170,빨간계열
뻘그레,68,85,빨간계열
불그레,68,170,빨간계열
뿔그레,68,85,빨간계열
발그무레,0,85,빨간계열
벌그무레,68,85,빨간계열
볼그무레,0,85,빨간계열
불그무레,68,85,빨간계열
발그족족,0,85,빨간계열
빨그족족,0,0,빨간계열
벌그죽죽,204,85,빨간계열
뻘그죽죽,204,0,빨간계열
볼그족족,0,85,빨간계열
뽈그족족,0,0,빨간계열
불그죽죽,204,85,빨간계열
뿔그죽죽,204,0,빨간계열
노랗,0,0,노란계열
누렇,136,0,노란계열
노르,0,0,노란계열
누르,68,0,노란계열
샛노랗,0,0,노란계열
싯누렇,136,0,노란계열
노르스름,0,85,노란계열
누르스름,68,85,노란계열
노르스레,0,85,노란계열
누르스레,68,85,노란계열
누르무레,68,85,노란계열
노르무레,0,85,노란계열
누르끄레,68,85,노란계열
노르끄레,0,85,노란계열
누르끄무레,68,85,노란계열
노르끄무레,0,85,노란계열
누르칙칙,204,0,노란계열
노르칙칙,68,0,노란계열
누리끼리,68,85,노란계열
노리끼리,0,85,노란계열
파랗,0,0,파란계열
퍼렇,136,0,파란계열
푸르,136,0,파란계열
푸른,136,0,파란계열
새파랗,136,0,파란계열
시퍼렇,136,0,파란계열
파르스름,0,85,파란계열
푸르스름,136,85,파란계열
파르스레,0,85,파란계열
파르스레,136,85,파란계열
푸르스레,136,85,파란계열
파름,0,85,파란계열
퍼름,136,85,파란계열
푸름,136,85,파란계열
파르무레,0,85,파란계열
푸르무레,136,85,파란계열
퍼르무레,136,85,파란계열
파르족족,0,0,파란계열
푸르족족,136,0,파란계열
파르댕댕,0,0,파란계열
푸르뎅뎅,136,0,파란계열
